case no,citation,link,paid,penalty,standard
000374480,8778047,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-18010.pdf,162.00,162.00,56.18010
000374480,8778046,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,100.00,56.14132(a)
000345454,8771783,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-9300.pdf,243.00,243.00,56.9300(a)
000345454,8771782,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-9300.pdf,243.00,243.00,56.9300(a)
000348280,8771781,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf,100.00,100.00,56.14100(b)
000345454,8771784,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec50-30.pdf,100.00,100.00,50.30(a)
000316329,8688404,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec50-30.pdf,100.00,100.00,50.30(a)
000316329,8681997,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec47-31.pdf,100.00,100.00,47.31(a)
000316329,8681996,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-12028.pdf,100.00,100.00,56.12028
000316329,8681995,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-14132.pdf,162.00,162.00,56.14132(a)
000316329,8681998,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-9300.pdf,100.00,100.00,56.9300(a)
000303884,6315027,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec46-8.pdf,112.00,112.00,46.8(a)(2)
000246930,6576571,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-9300.pdf,100.00,100.00,56.9300(b)
000246930,6576574,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-15001.pdf,243.00,243.00,56.15001
000246930,6576572,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-18013.pdf,100.00,100.00,56.18013
000246930,6576573,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-20002.pdf,100.00,100.00,56.20002(b)
000206354,6466145,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec41-12.pdf,100.00,100.00,41.12
000206354,6466144,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-9300.pdf,100.00,100.00,56.9300(a)
